0	8
0.25	9
0.5	8
0.75	12
1	12
1.25	7
1.5	11
1.75	13
2	10
2.25	14
2.5	12
2.75	16
3	14
3.25	14
3.5	16
3.75	9
4	10
4.25	4
4.5	10
4.75	16
5	10
5.25	4
5.5	15
5.75	18
6	9
6.25	11
6.5	11
6.75	14
7	14
7.25	11
7.5	13
7.75	13
8	11
8.25	8
8.5	15
8.75	13
9	14
9.25	20
9.5	11
9.75	18
10	11
10.25	13
10.5	10
10.75	16
11	14
11.25	12
11.5	13
11.75	11
12	12
12.25	15
12.5	17
12.75	21
13	10
13.25	16
13.5	16
13.75	15
14	16
14.25	15
14.5	16
14.75	12
15	19
15.25	9
15.5	20
15.75	15
16	15
16.25	14
16.5	13
16.75	13
17	11
17.25	13
17.5	14
17.75	18
18	17
18.25	11
18.5	12
18.75	14
19	17
19.25	23
19.5	17
19.75	21
20	8
20.25	22
20.5	17
20.75	19
21	22
21.25	15
21.5	25
21.75	19
22	11
22.25	20
22.5	18
22.75	12
23	21
23.25	20
23.5	17
23.75	26
24	14
24.25	26
24.5	19
24.75	17
25	22
25.25	12
25.5	16
25.75	25
26	22
26.25	20
26.5	18
26.75	15
27	19
27.25	18
27.5	21
27.75	24
28	21
28.25	26
28.5	17
28.75	21
29	17
29.25	22
29.5	33
29.75	25
30	25
30.25	21
30.5	22
30.75	30
31	28
31.25	21
31.5	27
31.75	22
32	29
32.25	21
32.5	28
32.75	31
33	21
33.25	27
33.5	17
33.75	25
34	35
34.25	22
34.5	21
34.75	19
35	30
35.25	37
35.5	30
35.75	33
36	27
36.25	28
36.5	19
36.75	25
37	35
37.25	39
37.5	30
37.75	32
38	37
38.25	20
38.5	31
38.75	28
39	30
39.25	40
39.5	25
39.75	29
40	32
40.25	30
40.5	34
40.75	22
41	24
41.25	36
41.5	37
41.75	31
42	37
42.25	47
42.5	37
42.75	39
43	34
43.25	39
43.5	36
43.75	39
44	40
44.25	23
44.5	32
44.75	44
45	38
45.25	34
45.5	28
45.75	36
46	32
46.25	33
46.5	42
46.75	36
47	38
47.25	34
47.5	44
47.75	49
48	34
48.25	44
48.5	45
48.75	47
49	47
49.25	24
49.5	43
49.75	32
50	55
50.25	45
50.5	43
50.75	44
51	46
51.25	48
51.5	51
51.75	60
52	51
52.25	50
52.5	54
52.75	59
53	52
53.25	45
53.5	58
53.75	61
54	71
54.25	57
54.5	47
54.75	53
55	58
55.25	47
55.5	57
55.75	54
56	70
56.25	57
56.5	59
56.75	54
57	61
57.25	71
57.5	65
57.75	51
58	59
58.25	57
58.5	64
58.75	70
59	62
59.25	74
59.5	55
59.75	55
60	65
60.25	65
60.5	65
60.75	65
61	79
61.25	49
61.5	90
61.75	67
62	63
62.25	85
62.5	78
62.75	65
63	80
63.25	101
63.5	82
63.75	70
