0	4
0.25	6
0.5	11
0.75	6
1	7
1.25	5
1.5	8
1.75	7
2	12
2.25	6
2.5	4
2.75	7
3	10
3.25	6
3.5	8
3.75	6
4	11
4.25	5
4.5	11
4.75	5
5	7
5.25	12
5.5	6
5.75	6
6	9
6.25	9
6.5	5
6.75	12
7	18
7.25	9
7.5	7
7.75	9
8	8
8.25	2
8.5	13
8.75	13
9	5
9.25	5
9.5	7
9.75	5
10	10
10.25	6
10.5	11
10.75	9
11	7
11.25	10
11.5	9
11.75	10
12	10
12.25	4
12.5	9
12.75	12
13	7
13.25	13
13.5	11
13.75	10
14	7
14.25	7
14.5	5
14.75	9
15	6
15.25	5
15.5	11
15.75	11
16	5
16.25	11
16.5	11
16.75	9
17	17
17.25	5
17.5	5
17.75	8
18	13
18.25	7
18.5	10
18.75	8
19	16
19.25	10
19.5	10
19.75	11
20	13
20.25	13
20.5	14
20.75	11
21	10
21.25	12
21.5	9
21.75	7
22	11
22.25	11
22.5	10
22.75	10
23	9
23.25	15
23.5	17
23.75	8
24	7
24.25	11
24.5	10
24.75	9
25	19
25.25	17
25.5	16
25.75	16
26	10
26.25	16
26.5	10
26.75	11
27	18
27.25	16
27.5	10
27.75	13
28	14
28.25	4
28.5	12
28.75	12
29	14
29.25	13
29.5	13
29.75	17
30	11
30.25	17
30.5	16
30.75	15
31	14
31.25	21
31.5	9
31.75	14
32	14
32.25	18
32.5	14
32.75	14
33	18
33.25	16
33.5	19
33.75	23
34	11
34.25	13
34.5	8
34.75	16
35	18
35.25	14
35.5	17
35.75	14
36	18
36.25	18
36.5	21
36.75	19
37	14
37.25	23
37.5	22
37.75	16
38	13
38.25	15
38.5	19
38.75	13
39	12
39.25	24
39.5	11
39.75	21
40	24
40.25	16
40.5	24
40.75	22
41	18
41.25	24
41.5	20
41.75	21
42	21
42.25	25
42.5	22
42.75	17
43	22
43.25	21
43.5	29
43.75	14
44	26
44.25	22
44.5	17
44.75	14
45	14
45.25	19
45.5	25
45.75	22
46	22
46.25	23
46.5	21
46.75	20
47	22
47.25	17
47.5	17
47.75	20
48	15
48.25	19
48.5	20
48.75	16
49	16
49.25	28
49.5	32
49.75	20
50	31
50.25	30
50.5	34
50.75	24
51	14
51.25	20
