0	0
0.25	1
0.5	1
0.75	3
1	1
1.25	1
1.5	1
1.75	0
2	1
2.25	2
2.5	1
2.75	0
3	1
3.25	1
3.5	0
3.75	1
4	2
4.25	1
4.5	0
4.75	0
5	0
5.25	2
5.5	0
5.75	4
6	1
6.25	0
6.5	0
6.75	1
7	2
7.25	1
7.5	2
7.75	0
8	1
8.25	2
8.5	0
8.75	0
9	2
9.25	1
9.5	0
9.75	1
10	0
10.25	1
10.5	2
10.75	0
11	0
11.25	2
11.5	4
11.75	1
12	2
12.25	3
12.5	0
12.75	1
13	1
13.25	2
13.5	3
13.75	0
14	0
14.25	0
14.5	0
14.75	4
15	3
15.25	2
15.5	2
15.75	1
16	1
16.25	1
16.5	1
16.75	1
17	1
17.25	2
17.5	1
17.75	3
18	3
18.25	0
18.5	1
18.75	2
19	1
19.25	1
19.5	2
19.75	3
20	0
20.25	1
20.5	0
20.75	1
21	1
21.25	2
21.5	0
21.75	1
22	1
22.25	1
22.5	2
22.75	0
23	1
23.25	2
23.5	0
23.75	0
24	0
24.25	2
24.5	0
24.75	1
25	1
25.25	4
25.5	3
25.75	0
26	4
26.25	1
26.5	3
26.75	1
27	3
27.25	2
27.5	1
27.75	0
28	1
28.25	1
28.5	0
28.75	3
29	3
29.25	2
29.5	3
29.75	2
30	2
30.25	2
30.5	2
30.75	2
31	3
31.25	2
31.5	5
31.75	5
32	3
32.25	2
32.5	0
32.75	3
33	1
33.25	4
33.5	2
33.75	3
34	4
34.25	2
34.5	4
34.75	1
35	2
35.25	2
35.5	1
35.75	4
36	2
36.25	4
36.5	2
36.75	4
37	1
37.25	3
37.5	3
37.75	2
38	2
38.25	2
38.5	2
38.75	1
39	2
39.25	2
39.5	0
39.75	4
40	4
40.25	3
40.5	2
40.75	5
41	2
41.25	3
41.5	4
41.75	3
42	1
42.25	3
42.5	1
42.75	4
43	5
43.25	5
43.5	4
43.75	6
44	5
44.25	4
44.5	2
44.75	1
45	2
45.25	0
45.5	1
45.75	4
46	5
46.25	6
46.5	3
46.75	3
47	1
47.25	3
47.5	0
47.75	3
48	5
48.25	4
48.5	2
48.75	4
49	7
49.25	4
49.5	2
49.75	6
50	5
50.25	4
50.5	4
50.75	5
51	10
51.25	5
51.5	4
51.75	3
52	3
52.25	6
52.5	1
52.75	3
53	0
53.25	4
53.5	4
53.75	5
54	4
54.25	4
54.5	8
54.75	5
55	3
55.25	7
55.5	5
55.75	3
56	4
