0	0
0.25	1
0.5	1
0.75	1
1	0
1.25	0
1.5	1
1.75	1
2	0
2.25	2
2.5	0
2.75	0
3	0
3.25	2
3.5	0
3.75	2
4	5
4.25	2
4.5	1
4.75	0
5	1
5.25	0
5.5	0
5.75	0
6	0
6.25	0
6.5	1
6.75	0
7	0
7.25	1
7.5	3
7.75	1
8	5
8.25	0
8.5	1
8.75	2
9	2
9.25	0
9.5	0
9.75	1
10	0
10.25	0
10.5	0
10.75	0
11	3
11.25	2
11.5	0
11.75	1
12	2
12.25	2
12.5	1
12.75	1
13	0
13.25	3
13.5	2
13.75	3
14	2
14.25	1
14.5	3
14.75	1
15	2
15.25	1
15.5	1
15.75	0
16	2
16.25	1
16.5	3
16.75	0
17	2
17.25	1
17.5	2
17.75	0
18	1
18.25	1
18.5	0
18.75	3
19	2
19.25	3
19.5	2
19.75	0
20	2
20.25	3
20.5	3
20.75	3
21	2
21.25	2
21.5	2
21.75	2
22	1
22.25	3
22.5	2
22.75	6
23	2
23.25	5
23.5	0
23.75	0
24	4
24.25	2
24.5	4
24.75	2
25	3
25.25	0
25.5	5
25.75	2
26	2
26.25	3
26.5	3
26.75	0
27	3
27.25	2
27.5	3
27.75	1
28	2
28.25	2
28.5	5
28.75	3
29	3
29.25	4
29.5	1
29.75	2
30	1
30.25	2
30.5	3
30.75	1
31	4
31.25	5
31.5	4
31.75	3
32	3
32.25	6
32.5	2
32.75	4
33	1
33.25	0
33.5	2
33.75	2
34	0
34.25	1
34.5	7
34.75	4
35	3
35.25	1
35.5	4
35.75	2
36	4
36.25	4
36.5	5
36.75	2
37	3
37.25	2
37.5	2
37.75	1
38	3
38.25	1
38.5	4
38.75	5
39	3
39.25	4
39.5	5
39.75	6
40	4
40.25	7
40.5	4
40.75	1
41	0
41.25	2
41.5	9
41.75	5
42	6
42.25	1
42.5	0
42.75	4
43	4
43.25	4
43.5	5
43.75	4
44	3
44.25	3
44.5	5
44.75	4
45	4
45.25	2
45.5	7
45.75	5
46	5
46.25	6
46.5	8
46.75	5
47	3
47.25	4
47.5	6
47.75	4
48	3
48.25	3
48.5	3
48.75	5
49	11
49.25	6
49.5	1
49.75	6
50	2
50.25	4
50.5	5
50.75	5
51	3
51.25	5
51.5	5
51.75	5
52	5
52.25	5
52.5	10
52.75	5
53	8
53.25	4
53.5	4
53.75	10
54	8
54.25	5
54.5	4
54.75	10
55	5
55.25	4
55.5	6
55.75	7
56	7
